ROW,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
125539,G29015904811003,291594811003,93,9
125540,G29015904811004,291594811004,90,9
125541,G29015904811005,291594811005,74,6
125542,G29016108901001,291618901001,63,4
125543,G29016108901002,291618901002,59,4
125544,G29016108901003,291618901003,61,4
125545,G29016108901004,291618901004,50,3
125546,G29016108902001,291618902001,86,8
125547,G29016108902002,291618902002,86,8
125548,G29016108902003,291618902003,86,8
125549,G29016108902004,291618902004,86,8
125550,G29016108902005,291618902005,86,8
125551,G29016108902006,291618902006,86,8
125552,G29016108902007,291618902007,86,8
125553,G29016108903011,291618903011,79,7
125554,G29016108903012,291618903012,79,7
125555,G29016108903013,291618903013,78,7
125556,G29016108903021,291618903021,92,9
125557,G29016108903022,291618903022,92,9
125558,G29016108903023,291618903023,92,9
125559,G29016108904011,291618904011,GQ,GQ
125560,G29016108904012,291618904012,79,7
125561,G29016108904013,291618904013,94,9
125562,G29016108904014,291618904014,GQ,GQ
125563,G29016108904021,291618904021,GQ,GQ
125564,G29016108905001,291618905001,68,5
125565,G29016108905002,291618905002,72,6
125566,G29016108905003,291618905003,92,9
125567,G29016108906001,291618906001,78,7
125568,G29016108906002,291618906002,78,7
125569,G29016108906003,291618906003,76,6
125570,G29016108907001,291618907001,65,5
125571,G29016108907002,291618907002,72,6
125572,G29016108907003,291618907003,78,7
125573,G29016108908001,291618908001,GQ,GQ
125574,G29016108908002,291618908002,GQ,GQ
125575,G29016108908003,291618908003,88,8
125576,G29016108908004,291618908004,89,9
125577,G29016108909001,291618909001,82,7
125578,G29016108909002,291618909002,85,8
125579,G29016108909003,291618909003,57,3
125580,G29016108910001,291618910001,55,3
125581,G29016108910002,291618910002,63,4
125582,G29016108910003,291618910003,45,2
125583,G29016108910004,291618910004,50,3
125584,G29016304601001,291634601001,96,10
125585,G29016304601002,291634601002,90,9
125586,G29016304601003,291634601003,99,10
125587,G29016304601004,291634601004,94,9
125588,G29016304602001,291634602001,77,6
125589,G29016304602002,291634602002,94,9
125590,G29016304602003,291634602003,77,6
125591,G29016304603001,291634603001,GQ,GQ
125592,G29016304603002,291634603002,63,4
125593,G29016304603003,291634603003,58,4
125594,G29016304603004,291634603004,73,6
125595,G29016304604001,291634604001,88,8
125596,G29016304604002,291634604002,86,8
125597,G29016304604003,291634604003,88,8
125598,G29016304605001,291634605001,72,6
125599,G29016304605002,291634605002,73,6
125600,G29016304605003,291634605003,89,9
125601,G29016500300021,291650300021,56,3
125602,G29016500300022,291650300022,55,3
125603,G29016500300023,291650300023,77,6
125604,G29016500300031,291650300031,50,3
125605,G29016500300041,291650300041,48,2
125606,G29016500300042,291650300042,52,3
125607,G29016500300043,291650300043,42,2
125608,G29016500300044,291650300044,50,3
125609,G29016500301011,291650301011,37,2
125610,G29016500301012,291650301012,35,1
125611,G29016500301021,291650301021,38,2
125612,G29016500301022,291650301022,23,1
125613,G29016500301023,291650301023,33,1
125614,G29016500301031,291650301031,66,5
125615,G29016500301032,291650301032,14,1
125616,G29016500301033,291650301033,63,4
125617,G29016500301034,291650301034,77,6
125618,G29016500302011,291650302011,26,1
125619,G29016500302012,291650302012,21,1
125620,G29016500302013,291650302013,33,1
125621,G29016500302014,291650302014,PH,PH
125622,G29016500302071,291650302071,25,1
125623,G29016500302072,291650302072,43,2
125624,G29016500302073,291650302073,44,2
125625,G29016500302074,291650302074,29,1
125626,G29016500302075,291650302075,28,1
125627,G29016500302076,291650302076,41,2
125628,G29016500302081,291650302081,52,3
125629,G29016500302082,291650302082,17,1
125630,G29016500302101,291650302101,34,1
125631,G29016500302111,291650302111,42,2
125632,G29016500302112,291650302112,45,2
125633,G29016500302113,291650302113,50,3
125634,G29016500302121,291650302121,42,2
125635,G29016500302122,291650302122,53,3
125636,G29016500302123,291650302123,52,3
125637,G29016500302131,291650302131,50,3
125638,G29016500302132,291650302132,54,3
125639,G29016500302141,291650302141,66,5
125640,G29016500302151,291650302151,58,4
125641,G29016500302161,291650302161,46,2
125642,G29016500302162,291650302162,49,3
125643,G29016500303061,291650303061,23,1
125644,G29016500303062,291650303062,24,1
125645,G29016500303063,291650303063,13,1
125646,G29016500303064,291650303064,PH,PH
125647,G29016500303081,291650303081,46,2
125648,G29016500303082,291650303082,45,2
125649,G29016500303083,291650303083,41,2
125650,G29016500303084,291650303084,47,2
125651,G29016500303091,291650303091,50,3
125652,G29016500303092,291650303092,52,3
125653,G29016500303093,291650303093,46,2
125654,G29016500303094,291650303094,58,4
125655,G29016500303095,291650303095,42,2
125656,G29016500303101,291650303101,47,2
125657,G29016500303102,291650303102,29,1
125658,G29016500303103,291650303103,58,4
125659,G29016500304011,291650304011,37,2
125660,G29016500304012,291650304012,25,1
125661,G29016500304013,291650304013,29,1
125662,G29016500304014,291650304014,22,1
125663,G29016500305011,291650305011,46,2
125664,G29016500305012,291650305012,46,2
125665,G29016500305021,291650305021,75,6
125666,G29016500305022,291650305022,70,5
125667,G29016500305023,291650305023,70,5
125668,G29016500305024,291650305024,71,5
125669,G29016500306011,291650306011,70,5
125670,G29016500306012,291650306012,28,1
125671,G29016500306021,291650306021,63,4
125672,G29016500306022,291650306022,41,2
125673,G29016500306023,291650306023,61,4
125674,G29016500306024,291650306024,38,2
125675,G29016500306025,291650306025,53,3
125676,G29016500307001,291650307001,51,3
125677,G29016500307002,291650307002,56,3
125678,G29016500307003,291650307003,PH,PH
125679,G29016500307004,291650307004,37,2
125680,G29016509800001,291659800001,PH,PH
125681,G29016709601011,291679601011,99,10
125682,G29016709601012,291679601012,74,6
125683,G29016709601021,291679601021,81,7
125684,G29016709601022,291679601022,86,8
125685,G29016709601023,291679601023,70,5
125686,G29016709601024,291679601024,80,7
125687,G29016709602011,291679602011,75,6
125688,G29016709602012,291679602012,82,7
125689,G29016709602021,291679602021,57,3
125690,G29016709602022,291679602022,78,7
125691,G29016709602023,291679602023,83,7
125692,G29016709603011,291679603011,65,5
125693,G29016709603012,291679603012,55,3
125694,G29016709603021,291679603021,75,6
125695,G29016709603022,291679603022,70,5
125696,G29016709603023,291679603023,53,3
125697,G29016709604011,291679604011,GQ,GQ
125698,G29016709604012,291679604012,74,6
125699,G29016709604013,291679604013,72,6
125700,G29016709604021,291679604021,50,3
125701,G29016709604022,291679604022,70,5
125702,G29016709604023,291679604023,77,6
125703,G29016709604024,291679604024,70,5
125704,G29016904701011,291694701011,74,6
125705,G29016904701012,291694701012,68,5
125706,G29016904701013,291694701013,80,7
125707,G29016904701014,291694701014,86,8
125708,G29016904701021,291694701021,83,7
125709,G29016904701022,291694701022,82,7
125710,G29016904701023,291694701023,87,8
125711,G29016904702861,291694702861,GQ,GQ
125712,G29016904702862,291694702862,62,4
125713,G29016904702863,291694702863,62,4
125714,G29016904702881,291694702881,69,5
125715,G29016904702882,291694702882,69,5
125716,G29016904702883,291694702883,69,5
125717,G29016904702884,291694702884,69,5
125718,G29016904702891,291694702891,74,6
125719,G29016904702892,291694702892,72,6
125720,G29016904703891,291694703891,GQ,GQ
125721,G29016904703892,291694703892,63,4
125722,G29016904703901,291694703901,73,6
125723,G29016904703902,291694703902,70,5
125724,G29016904704011,291694704011,68,5
125725,G29016904704012,291694704012,68,5
125726,G29016904704021,291694704021,52,3
